"subject","rt","transition","trial","error","error_trim","transcode"
"A13KMWHXNI4C12",1913,"Switch",2,0,0,1
"A13KMWHXNI4C12",909,"Repeat",6,0,0,0
"A13KMWHXNI4C12",1011,"Switch",7,0,0,1
"A13KMWHXNI4C12",874,"Repeat",8,0,0,0
"A13KMWHXNI4C12",1165,"Switch",9,0,0,1
"A13KMWHXNI4C12",1316,"Repeat",10,0,0,0
"A13KMWHXNI4C12",853,"Repeat",11,0,0,0
"A13KMWHXNI4C12",917,"Repeat",12,0,0,0
"A13KMWHXNI4C12",867,"Repeat",15,0,0,0
"A13KMWHXNI4C12",880,"Switch",16,0,0,1
"A13KMWHXNI4C12",1278,"Repeat",17,0,0,0
"A13KMWHXNI4C12",698,"Repeat",18,0,0,0
"A13KMWHXNI4C12",943,"Switch",19,0,0,1
"A13KMWHXNI4C12",665,"Repeat",20,0,0,0
"A13KMWHXNI4C12",1923,"Repeat",24,0,0,0
"A13KMWHXNI4C12",1006,"Repeat",25,0,0,0
"A13KMWHXNI4C12",2138,"Repeat",26,0,0,0
"A13KMWHXNI4C12",2959,"Switch",27,0,0,1
"A13KMWHXNI4C12",3675,"Repeat",28,0,0,0
"A13KMWHXNI4C12",1148,"Repeat",31,0,0,0
"A13KMWHXNI4C12",718,"Switch",32,0,0,1
"A13KMWHXNI4C12",1915,"Switch",33,0,0,1
"A13KMWHXNI4C12",752,"Switch",36,0,0,1
"A13KMWHXNI4C12",1425,"Switch",37,0,0,1
"A13KMWHXNI4C12",1116,"Repeat",38,0,0,0
"A13KMWHXNI4C12",1954,"Switch",39,0,0,1
"A13KMWHXNI4C12",926,"Repeat",40,0,0,0
"A13KMWHXNI4C12",1184,"Switch",41,0,0,1
"A13KMWHXNI4C12",1799,"Switch",42,0,0,1
"A13KMWHXNI4C12",817,"Repeat",43,0,0,0
"A13KMWHXNI4C12",1316,"Repeat",44,0,0,0
"A13KMWHXNI4C12",643,"Repeat",45,0,0,0
"A13KMWHXNI4C12",932,"Switch",46,0,0,1
"A13KMWHXNI4C12",3088,"Switch",47,0,0,1
"A13KMWHXNI4C12",1322,"Repeat",48,0,0,0
"A13KMWHXNI4C12",1020,"Switch",49,0,0,1
"A13KMWHXNI4C12",697,"Repeat",50,0,0,0
"A13KMWHXNI4C12",1496,"Switch",51,0,0,1
"A13KMWHXNI4C12",963,"Repeat",52,0,0,0
"A13KMWHXNI4C12",2573,"Switch",55,0,0,1
"A13KMWHXNI4C12",665,"Repeat",56,0,0,0
"A13KMWHXNI4C12",581,"Repeat",57,0,0,0
"A13KMWHXNI4C12",1734,"Switch",58,0,0,1
"A13KMWHXNI4C12",1076,"Repeat",59,0,0,0
"A13KMWHXNI4C12",672,"Switch",60,0,0,1
"A13KMWHXNI4C12",1796,"Switch",61,0,0,1
"A13KMWHXNI4C12",647,"Repeat",62,0,0,0
"A13KMWHXNI4C12",649,"Repeat",63,0,0,0
"A13KMWHXNI4C12",411,"Switch",64,0,0,1
"A13KMWHXNI4C12",507,"Repeat",65,0,0,0
"A13KMWHXNI4C12",461,"Switch",66,0,0,1
"A13KMWHXNI4C12",677,"Repeat",67,0,0,0
"A13KMWHXNI4C12",1118,"Switch",68,0,0,1
"A13KMWHXNI4C12",1498,"Switch",69,0,0,1
"A13KMWHXNI4C12",1516,"Switch",70,0,0,1
"A13KMWHXNI4C12",1168,"Switch",72,0,0,1
"A13KMWHXNI4C12",618,"Switch",75,0,0,1
"A13KMWHXNI4C12",915,"Repeat",76,0,0,0
"A13KMWHXNI4C12",846,"Switch",77,0,0,1
"A13KMWHXNI4C12",783,"Switch",78,0,0,1
"A13KMWHXNI4C12",443,"Repeat",79,0,0,0
"A13KMWHXNI4C12",1217,"Switch",80,0,0,1
"A13KMWHXNI4C12",1487,"Switch",81,0,0,1
"A13KMWHXNI4C12",1126,"Switch",82,0,0,1
"A13KMWHXNI4C12",964,"Switch",83,0,0,1
"A13KMWHXNI4C12",1021,"Repeat",84,0,0,0
"A13KMWHXNI4C12",1119,"Switch",85,0,0,1
"A13KMWHXNI4C12",1984,"Repeat",86,0,0,0
"A13KMWHXNI4C12",1330,"Switch",87,0,0,1
"A13KMWHXNI4C12",2984,"Switch",88,0,0,1
"A13KMWHXNI4C12",1614,"Switch",89,0,0,1
"A13KMWHXNI4C12",1616,"Repeat",90,0,0,0
"A13KMWHXNI4C12",1266,"Switch",91,0,0,1
"A13KMWHXNI4C12",1397,"Switch",92,0,0,1
"A13KMWHXNI4C12",1491,"Repeat",93,0,0,0
"A13KMWHXNI4C12",802,"Repeat",96,0,0,0
"A13KMWHXNI4C12",741,"Repeat",97,0,0,0
"A13KMWHXNI4C12",607,"Repeat",98,0,0,0
"A13KMWHXNI4C12",533,"Repeat",99,0,0,0
"A13KMWHXNI4C12",871,"Repeat",100,0,0,0
"A13KMWHXNI4C12",984,"Switch",101,0,0,1
"A13KMWHXNI4C12",1316,"Repeat",102,0,0,0
"A13KMWHXNI4C12",1251,"Repeat",103,0,0,0
"A13KMWHXNI4C12",763,"Repeat",106,0,0,0
"A13KMWHXNI4C12",701,"Repeat",107,0,0,0
"A13KMWHXNI4C12",1217,"Repeat",108,0,0,0
"A13KMWHXNI4C12",777,"Switch",109,0,0,1
"A13KMWHXNI4C12",1165,"Switch",110,0,0,1
"A13KMWHXNI4C12",910,"Switch",111,0,0,1
"A13KMWHXNI4C12",2005,"Switch",112,0,0,1
"A13KMWHXNI4C12",970,"Switch",113,0,0,1
"A13KMWHXNI4C12",623,"Switch",114,0,0,1
"A13KMWHXNI4C12",654,"Switch",115,0,0,1
"A13KMWHXNI4C12",1005,"Switch",118,0,0,1
"A13KMWHXNI4C12",509,"Repeat",121,0,0,0
"A13KMWHXNI4C12",627,"Repeat",122,0,0,0
"A13KMWHXNI4C12",890,"Switch",123,0,0,1
"A13KMWHXNI4C12",1819,"Repeat",124,0,0,0
"A13KMWHXNI4C12",1639,"Switch",125,0,0,1
"A13KMWHXNI4C12",833,"Repeat",126,0,0,0
"A13KMWHXNI4C12",876,"Repeat",127,0,0,0
"A13KMWHXNI4C12",749,"Repeat",128,0,0,0
"A13KMWHXNI4C12",747,"Repeat",129,0,0,0
"A13KMWHXNI4C12",656,"Repeat",130,0,0,0
"A13KMWHXNI4C12",729,"Repeat",131,0,0,0
"A13KMWHXNI4C12",1380,"Switch",134,0,0,1
"A13KMWHXNI4C12",966,"Switch",135,0,0,1
"A13KMWHXNI4C12",1288,"Switch",136,0,0,1
"A13KMWHXNI4C12",929,"Repeat",137,0,0,0
"A13KMWHXNI4C12",476,"Switch",138,0,0,1
"A13KMWHXNI4C12",911,"Switch",139,0,0,1
"A13KMWHXNI4C12",657,"Switch",140,0,0,1
"A13KMWHXNI4C12",709,"Switch",141,0,0,1
"A13KMWHXNI4C12",684,"Switch",142,0,0,1
"A13KMWHXNI4C12",598,"Repeat",143,0,0,0
"A13KMWHXNI4C12",729,"Switch",144,0,0,1
"A13KMWHXNI4C12",1875,"Switch",145,0,0,1
"A13KMWHXNI4C12",424,"Repeat",146,0,0,0
"A13KMWHXNI4C12",475,"Repeat",147,0,0,0
"A13KMWHXNI4C12",528,"Switch",148,0,0,1
"A13KMWHXNI4C12",443,"Switch",149,0,0,1
"A13KMWHXNI4C12",516,"Repeat",150,0,0,0
"A13KMWHXNI4C12",654,"Switch",151,0,0,1
"A13KMWHXNI4C12",977,"Repeat",152,0,0,0
"A13KMWHXNI4C12",779,"Switch",153,0,0,1
"A13KMWHXNI4C12",594,"Switch",154,0,0,1
"A13KMWHXNI4C12",779,"Switch",159,0,0,1
"A13KMWHXNI4C12",1494,"Switch",160,0,0,1
"A15SBWIYJ9AGVZ",1784,"Repeat",2,0,0,0
"A15SBWIYJ9AGVZ",2316,"Repeat",3,0,0,0
"A15SBWIYJ9AGVZ",877,"Repeat",4,0,0,0
"A15SBWIYJ9AGVZ",1237,"Repeat",5,0,0,0
"A15SBWIYJ9AGVZ",939,"Repeat",8,0,0,0
"A15SBWIYJ9AGVZ",1241,"Switch",9,0,0,1
"A15SBWIYJ9AGVZ",821,"Switch",10,0,0,1
"A15SBWIYJ9AGVZ",1004,"Repeat",11,0,0,0
"A15SBWIYJ9AGVZ",1733,"Switch",12,0,0,1
"A15SBWIYJ9AGVZ",1214,"Repeat",13,0,0,0
"A15SBWIYJ9AGVZ",1062,"Repeat",14,0,0,0
"A15SBWIYJ9AGVZ",501,"Switch",15,0,0,1
"A15SBWIYJ9AGVZ",576,"Repeat",16,0,0,0
"A15SBWIYJ9AGVZ",3175,"Switch",17,0,0,1
"A15SBWIYJ9AGVZ",784,"Switch",18,0,0,1
"A15SBWIYJ9AGVZ",802,"Repeat",19,0,0,0
"A15SBWIYJ9AGVZ",2171,"Switch",20,0,0,1
"A15SBWIYJ9AGVZ",1439,"Repeat",23,0,0,0
"A15SBWIYJ9AGVZ",889,"Repeat",24,0,0,0
"A15SBWIYJ9AGVZ",785,"Repeat",25,0,0,0
"A15SBWIYJ9AGVZ",981,"Repeat",26,0,0,0
"A15SBWIYJ9AGVZ",780,"Repeat",27,0,0,0
"A15SBWIYJ9AGVZ",733,"Repeat",28,0,0,0
"A15SBWIYJ9AGVZ",974,"Switch",29,0,0,1
"A15SBWIYJ9AGVZ",532,"Repeat",30,0,0,0
"A15SBWIYJ9AGVZ",741,"Repeat",31,0,0,0
"A15SBWIYJ9AGVZ",500,"Repeat",32,0,0,0
"A15SBWIYJ9AGVZ",804,"Switch",33,0,0,1
"A15SBWIYJ9AGVZ",2350,"Switch",34,0,0,1
"A15SBWIYJ9AGVZ",1864,"Switch",35,0,0,1
"A15SBWIYJ9AGVZ",1950,"Repeat",36,0,0,0
"A15SBWIYJ9AGVZ",1371,"Repeat",37,0,0,0
"A15SBWIYJ9AGVZ",2134,"Switch",38,0,0,1
"A15SBWIYJ9AGVZ",1580,"Repeat",39,0,0,0
"A15SBWIYJ9AGVZ",924,"Repeat",40,0,0,0
"A15SBWIYJ9AGVZ",935,"Repeat",41,0,0,0
"A15SBWIYJ9AGVZ",380,"Repeat",42,0,0,0
"A15SBWIYJ9AGVZ",831,"Switch",43,0,0,1
"A15SBWIYJ9AGVZ",1144,"Repeat",44,0,0,0
"A15SBWIYJ9AGVZ",1389,"Repeat",45,0,0,0
"A15SBWIYJ9AGVZ",1315,"Switch",46,0,0,1
"A15SBWIYJ9AGVZ",654,"Repeat",47,0,0,0
"A15SBWIYJ9AGVZ",1221,"Switch",48,0,0,1
"A15SBWIYJ9AGVZ",507,"Repeat",49,0,0,0
"A15SBWIYJ9AGVZ",1131,"Repeat",50,0,0,0
"A15SBWIYJ9AGVZ",666,"Repeat",51,0,0,0
"A15SBWIYJ9AGVZ",842,"Switch",52,0,0,1
"A15SBWIYJ9AGVZ",1017,"Repeat",56,0,0,0
"A15SBWIYJ9AGVZ",1237,"Switch",57,0,0,1
"A15SBWIYJ9AGVZ",1502,"Repeat",61,0,0,0
"A15SBWIYJ9AGVZ",1255,"Switch",62,0,0,1
"A15SBWIYJ9AGVZ",1062,"Switch",63,0,0,1
"A15SBWIYJ9AGVZ",1713,"Switch",64,0,0,1
"A15SBWIYJ9AGVZ",2024,"Switch",65,0,0,1
"A15SBWIYJ9AGVZ",848,"Switch",66,0,0,1
"A15SBWIYJ9AGVZ",1975,"Repeat",67,0,0,0
"A15SBWIYJ9AGVZ",592,"Repeat",70,0,0,0
"A15SBWIYJ9AGVZ",1082,"Switch",71,0,0,1
"A15SBWIYJ9AGVZ",823,"Repeat",72,0,0,0
"A15SBWIYJ9AGVZ",972,"Switch",73,0,0,1
"A15SBWIYJ9AGVZ",955,"Repeat",74,0,0,0
"A15SBWIYJ9AGVZ",1800,"Repeat",75,0,0,0
"A15SBWIYJ9AGVZ",813,"Switch",76,0,0,1
"A15SBWIYJ9AGVZ",707,"Repeat",77,0,0,0
"A15SBWIYJ9AGVZ",1551,"Switch",78,0,0,1
"A15SBWIYJ9AGVZ",750,"Switch",79,0,0,1
"A15SBWIYJ9AGVZ",677,"Repeat",80,0,0,0
"A15SBWIYJ9AGVZ",831,"Switch",81,0,0,1
"A15SBWIYJ9AGVZ",700,"Repeat",82,0,0,0
"A15SBWIYJ9AGVZ",658,"Repeat",83,0,0,0
"A15SBWIYJ9AGVZ",714,"Repeat",84,0,0,0
"A15SBWIYJ9AGVZ",595,"Repeat",85,0,0,0
"A15SBWIYJ9AGVZ",895,"Switch",86,0,0,1
"A15SBWIYJ9AGVZ",728,"Switch",87,0,0,1
"A15SBWIYJ9AGVZ",1579,"Repeat",88,0,0,0
"A15SBWIYJ9AGVZ",630,"Switch",89,0,0,1
"A15SBWIYJ9AGVZ",1070,"Switch",90,0,0,1
"A15SBWIYJ9AGVZ",1464,"Repeat",91,0,0,0
"A15SBWIYJ9AGVZ",415,"Repeat",92,0,0,0
"A15SBWIYJ9AGVZ",814,"Switch",93,0,0,1
"A15SBWIYJ9AGVZ",2007,"Switch",94,0,0,1
"A15SBWIYJ9AGVZ",909,"Switch",95,0,0,1
"A15SBWIYJ9AGVZ",811,"Repeat",98,0,0,0
"A15SBWIYJ9AGVZ",455,"Repeat",99,0,0,0
"A15SBWIYJ9AGVZ",778,"Switch",100,0,0,1
"A15SBWIYJ9AGVZ",1662,"Repeat",103,0,0,0
"A15SBWIYJ9AGVZ",1249,"Switch",104,0,0,1
"A15SBWIYJ9AGVZ",838,"Repeat",105,0,0,0
"A15SBWIYJ9AGVZ",851,"Repeat",106,0,0,0
"A15SBWIYJ9AGVZ",462,"Switch",107,0,0,1
"A15SBWIYJ9AGVZ",1091,"Repeat",108,0,0,0
"A15SBWIYJ9AGVZ",1047,"Switch",109,0,0,1
"A15SBWIYJ9AGVZ",985,"Repeat",110,0,0,0
"A15SBWIYJ9AGVZ",551,"Repeat",111,0,0,0
"A15SBWIYJ9AGVZ",1077,"Switch",112,0,0,1
"A15SBWIYJ9AGVZ",1523,"Switch",113,0,0,1
"A15SBWIYJ9AGVZ",630,"Switch",114,0,0,1
"A15SBWIYJ9AGVZ",421,"Repeat",115,0,0,0
"A15SBWIYJ9AGVZ",1501,"Switch",116,0,0,1
"A15SBWIYJ9AGVZ",640,"Repeat",117,0,0,0
"A15SBWIYJ9AGVZ",1694,"Repeat",118,0,0,0
"A15SBWIYJ9AGVZ",1006,"Switch",119,0,0,1
"A15SBWIYJ9AGVZ",880,"Repeat",120,0,0,0
"A15SBWIYJ9AGVZ",761,"Switch",121,0,0,1
"A15SBWIYJ9AGVZ",916,"Repeat",122,0,0,0
"A15SBWIYJ9AGVZ",472,"Switch",123,0,0,1
"A15SBWIYJ9AGVZ",960,"Repeat",124,0,0,0
"A15SBWIYJ9AGVZ",750,"Switch",125,0,0,1
"A15SBWIYJ9AGVZ",2198,"Switch",126,0,0,1
"A15SBWIYJ9AGVZ",803,"Switch",127,0,0,1
"A15SBWIYJ9AGVZ",1106,"Switch",128,0,0,1
"A15SBWIYJ9AGVZ",1198,"Switch",129,0,0,1
"A15SBWIYJ9AGVZ",1488,"Switch",130,0,0,1
"A15SBWIYJ9AGVZ",853,"Switch",131,0,0,1
"A15SBWIYJ9AGVZ",993,"Repeat",132,0,0,0
"A15SBWIYJ9AGVZ",567,"Repeat",133,0,0,0
"A15SBWIYJ9AGVZ",846,"Switch",134,0,0,1
"A15SBWIYJ9AGVZ",2164,"Switch",135,0,0,1
"A15SBWIYJ9AGVZ",1236,"Switch",136,0,0,1
"A15SBWIYJ9AGVZ",1215,"Repeat",137,0,0,0
"A15SBWIYJ9AGVZ",450,"Switch",138,0,0,1
"A15SBWIYJ9AGVZ",640,"Repeat",139,0,0,0
"A15SBWIYJ9AGVZ",972,"Switch",140,0,0,1
"A15SBWIYJ9AGVZ",1086,"Switch",141,0,0,1
"A15SBWIYJ9AGVZ",1262,"Switch",142,0,0,1
"A15SBWIYJ9AGVZ",1000,"Repeat",145,0,0,0
"A15SBWIYJ9AGVZ",646,"Repeat",146,0,0,0
"A15SBWIYJ9AGVZ",1218,"Switch",147,0,0,1
"A15SBWIYJ9AGVZ",1458,"Switch",148,0,0,1
"A15SBWIYJ9AGVZ",791,"Repeat",149,0,0,0
"A15SBWIYJ9AGVZ",1067,"Switch",150,0,0,1
"A15SBWIYJ9AGVZ",1268,"Repeat",151,0,0,0
"A15SBWIYJ9AGVZ",670,"Repeat",152,0,0,0
"A15SBWIYJ9AGVZ",1522,"Repeat",153,0,0,0
"A15SBWIYJ9AGVZ",476,"Switch",154,0,0,1
"A15SBWIYJ9AGVZ",1027,"Repeat",155,0,0,0
"A15SBWIYJ9AGVZ",859,"Switch",156,0,0,1
"A15SBWIYJ9AGVZ",613,"Switch",157,0,0,1
"A15SBWIYJ9AGVZ",602,"Repeat",158,0,0,0
"A15SBWIYJ9AGVZ",374,"Switch",159,0,0,1
"A15SBWIYJ9AGVZ",1654,"Switch",160,0,0,1
"A16G6PPH1INQL8",1049,"Switch",2,0,0,1
"A16G6PPH1INQL8",1202,"Repeat",3,0,0,0
"A16G6PPH1INQL8",816,"Switch",4,0,0,1
"A16G6PPH1INQL8",2255,"Repeat",5,0,0,0
"A16G6PPH1INQL8",1489,"Switch",6,0,0,1
"A16G6PPH1INQL8",1297,"Repeat",7,0,0,0
"A16G6PPH1INQL8",529,"Switch",10,0,0,1
"A16G6PPH1INQL8",1444,"Switch",11,0,0,1
"A16G6PPH1INQL8",861,"Switch",12,0,0,1
"A16G6PPH1INQL8",609,"Switch",13,0,0,1
"A16G6PPH1INQL8",560,"Repeat",14,0,0,0
"A16G6PPH1INQL8",688,"Repeat",15,0,0,0
"A16G6PPH1INQL8",402,"Repeat",16,0,0,0
"A16G6PPH1INQL8",736,"Switch",17,0,0,1
"A16G6PPH1INQL8",737,"Repeat",20,0,0,0
"A16G6PPH1INQL8",562,"Repeat",21,0,0,0
"A16G6PPH1INQL8",465,"Repeat",22,0,0,0
"A16G6PPH1INQL8",530,"Repeat",23,0,0,0
"A16G6PPH1INQL8",1266,"Switch",24,0,0,1
"A16G6PPH1INQL8",2850,"Switch",25,0,0,1
"A16G6PPH1INQL8",481,"Repeat",26,0,0,0
"A16G6PPH1INQL8",1451,"Switch",29,0,0,1
"A16G6PPH1INQL8",1377,"Repeat",30,0,0,0
"A16G6PPH1INQL8",1650,"Switch",31,0,0,1
"A16G6PPH1INQL8",3009,"Switch",34,0,0,1
"A16G6PPH1INQL8",3296,"Repeat",35,0,0,0
"A16G6PPH1INQL8",2772,"Switch",36,0,0,1
"A16G6PPH1INQL8",689,"Repeat",37,0,0,0
"A16G6PPH1INQL8",1744,"Repeat",38,0,0,0
"A16G6PPH1INQL8",734,"Repeat",39,0,0,0
"A16G6PPH1INQL8",590,"Repeat",40,0,0,0
"A16G6PPH1INQL8",753,"Repeat",41,0,0,0
"A16G6PPH1INQL8",1250,"Repeat",44,0,0,0
"A16G6PPH1INQL8",1311,"Repeat",46,0,0,0
"A16G6PPH1INQL8",1026,"Switch",47,0,0,1
"A16G6PPH1INQL8",1168,"Repeat",48,0,0,0
"A16G6PPH1INQL8",1439,"Repeat",49,0,0,0
"A16G6PPH1INQL8",945,"Switch",50,0,0,1
"A16G6PPH1INQL8",2496,"Repeat",51,0,0,0
"A16G6PPH1INQL8",4240,"Switch",52,0,0,1
"A16G6PPH1INQL8",753,"Switch",53,0,0,1
"A16G6PPH1INQL8",512,"Repeat",54,0,0,0
"A16G6PPH1INQL8",1762,"Switch",55,0,0,1
"A16G6PPH1INQL8",2895,"Switch",56,0,0,1
"A16G6PPH1INQL8",1694,"Switch",57,0,0,1
"A16G6PPH1INQL8",2244,"Switch",58,0,0,1
"A16G6PPH1INQL8",1056,"Repeat",61,0,0,0
"A16G6PPH1INQL8",2595,"Switch",62,0,0,1
"A16G6PPH1INQL8",1552,"Switch",64,0,0,1
"A16G6PPH1INQL8",653,"Repeat",65,0,0,0
"A16G6PPH1INQL8",944,"Repeat",66,0,0,0
"A16G6PPH1INQL8",1538,"Switch",67,0,0,1
"A16G6PPH1INQL8",1712,"Repeat",68,0,0,0
"A16G6PPH1INQL8",2387,"Switch",69,0,0,1
"A16G6PPH1INQL8",2111,"Repeat",71,0,0,0
"A16G6PPH1INQL8",1474,"Switch",72,0,0,1
"A16G6PPH1INQL8",1298,"Repeat",73,0,0,0
"A16G6PPH1INQL8",1361,"Repeat",74,0,0,0
"A16G6PPH1INQL8",592,"Repeat",75,0,0,0
"A16G6PPH1INQL8",2418,"Switch",76,0,0,1
"A16G6PPH1INQL8",607,"Repeat",79,0,0,0
"A16G6PPH1INQL8",1793,"Repeat",80,0,0,0
"A16G6PPH1INQL8",1810,"Switch",81,0,0,1
"A16G6PPH1INQL8",1456,"Repeat",82,0,0,0
"A16G6PPH1INQL8",1841,"Repeat",84,0,0,0
"A16G6PPH1INQL8",1714,"Switch",85,0,0,1
"A16G6PPH1INQL8",3390,"Switch",89,0,0,1
"A16G6PPH1INQL8",672,"Repeat",90,0,0,0
"A16G6PPH1INQL8",704,"Repeat",91,0,0,0
"A16G6PPH1INQL8",769,"Repeat",92,0,0,0
"A16G6PPH1INQL8",1199,"Switch",93,0,0,1
"A16G6PPH1INQL8",1170,"Repeat",94,0,0,0
"A16G6PPH1INQL8",2255,"Switch",95,0,0,1
"A16G6PPH1INQL8",562,"Switch",96,0,0,1
"A16G6PPH1INQL8",1119,"Repeat",97,0,0,0
"A16G6PPH1INQL8",867,"Repeat",98,0,0,0
"A16G6PPH1INQL8",623,"Repeat",101,0,0,0
"A16G6PPH1INQL8",1008,"Repeat",102,0,0,0
"A16G6PPH1INQL8",1862,"Switch",103,0,0,1
"A16G6PPH1INQL8",878,"Repeat",104,0,0,0
"A16G6PPH1INQL8",3007,"Repeat",105,0,0,0
"A16G6PPH1INQL8",2287,"Switch",106,0,0,1
"A16G6PPH1INQL8",1210,"Switch",108,0,0,1
"A16G6PPH1INQL8",2463,"Repeat",109,0,0,0
"A16G6PPH1INQL8",1908,"Switch",110,0,0,1
"A16G6PPH1INQL8",1101,"Switch",111,0,0,1
"A16G6PPH1INQL8",1951,"Repeat",112,0,0,0
"A16G6PPH1INQL8",2433,"Repeat",113,0,0,0
"A16G6PPH1INQL8",1537,"Switch",114,0,0,1
"A16G6PPH1INQL8",881,"Repeat",115,0,0,0
"A16G6PPH1INQL8",813,"Repeat",116,0,0,0
"A16G6PPH1INQL8",624,"Repeat",117,0,0,0
"A16G6PPH1INQL8",1568,"Switch",118,0,0,1
"A16G6PPH1INQL8",1841,"Switch",121,0,0,1
"A16G6PPH1INQL8",592,"Switch",122,0,0,1
"A16G6PPH1INQL8",1519,"Switch",123,0,0,1
"A16G6PPH1INQL8",1344,"Switch",124,0,0,1
"A16G6PPH1INQL8",1328,"Switch",125,0,0,1
"A16G6PPH1INQL8",1951,"Switch",126,0,0,1
"A16G6PPH1INQL8",1295,"Repeat",127,0,0,0
"A16G6PPH1INQL8",1169,"Switch",128,0,0,1
"A16G6PPH1INQL8",1540,"Switch",129,0,0,1
"A16G6PPH1INQL8",1120,"Repeat",130,0,0,0
"A16G6PPH1INQL8",1967,"Switch",131,0,0,1
"A16G6PPH1INQL8",1122,"Repeat",132,0,0,0
"A16G6PPH1INQL8",478,"Repeat",133,0,0,0
"A16G6PPH1INQL8",1619,"Repeat",134,0,0,0
"A16G6PPH1INQL8",526,"Repeat",138,0,0,0
"A16G6PPH1INQL8",737,"Repeat",139,0,0,0
"A16G6PPH1INQL8",1265,"Switch",140,0,0,1
"A16G6PPH1INQL8",1235,"Switch",143,0,0,1
"A16G6PPH1INQL8",541,"Repeat",144,0,0,0
"A16G6PPH1INQL8",1807,"Switch",145,0,0,1
"A16G6PPH1INQL8",1217,"Repeat",146,0,0,0
"A16G6PPH1INQL8",1182,"Repeat",147,0,0,0
"A16G6PPH1INQL8",736,"Switch",148,0,0,1
"A16G6PPH1INQL8",625,"Repeat",149,0,0,0
"A16G6PPH1INQL8",432,"Repeat",150,0,0,0
"A16G6PPH1INQL8",563,"Repeat",151,0,0,0
"A16G6PPH1INQL8",527,"Switch",152,0,0,1
"A16G6PPH1INQL8",1537,"Switch",153,0,0,1
"A16G6PPH1INQL8",541,"Repeat",154,0,0,0
"A16G6PPH1INQL8",1169,"Switch",155,0,0,1
"A16G6PPH1INQL8",562,"Switch",156,0,0,1
"A16G6PPH1INQL8",545,"Repeat",157,0,0,0
"A16G6PPH1INQL8",2177,"Switch",158,0,0,1
"A16G6PPH1INQL8",609,"Repeat",159,0,0,0
"A16G6PPH1INQL8",1442,"Switch",160,0,0,1
"A18FPXIJYCTETD",548,"Repeat",2,0,0,0
"A18FPXIJYCTETD",949,"Switch",3,0,0,1
"A18FPXIJYCTETD",628,"Switch",4,0,0,1
"A18FPXIJYCTETD",796,"Switch",5,0,0,1
"A18FPXIJYCTETD",762,"Repeat",6,0,0,0
"A18FPXIJYCTETD",1478,"Switch",7,0,0,1
"A18FPXIJYCTETD",602,"Repeat",8,0,0,0
"A18FPXIJYCTETD",782,"Repeat",9,0,0,0
"A18FPXIJYCTETD",702,"Repeat",10,0,0,0
"A18FPXIJYCTETD",617,"Repeat",11,0,0,0
"A18FPXIJYCTETD",1542,"Switch",12,0,0,1
"A18FPXIJYCTETD",2446,"Repeat",15,0,0,0
"A18FPXIJYCTETD",1239,"Repeat",16,0,0,0
"A18FPXIJYCTETD",3055,"Switch",17,0,0,1
"A18FPXIJYCTETD",705,"Repeat",18,0,0,0
"A18FPXIJYCTETD",1324,"Switch",19,0,0,1
"A18FPXIJYCTETD",919,"Switch",20,0,0,1
"A18FPXIJYCTETD",2048,"Repeat",21,0,0,0
"A18FPXIJYCTETD",1513,"Repeat",22,0,0,0
"A18FPXIJYCTETD",502,"Repeat",23,0,0,0
"A18FPXIJYCTETD",538,"Switch",24,0,0,1
"A18FPXIJYCTETD",639,"Switch",25,0,0,1
"A18FPXIJYCTETD",1322,"Switch",26,0,0,1
"A18FPXIJYCTETD",1099,"Switch",27,0,0,1
"A18FPXIJYCTETD",621,"Repeat",28,0,0,0
"A18FPXIJYCTETD",535,"Repeat",29,0,0,0
"A18FPXIJYCTETD",559,"Repeat",30,0,0,0
"A18FPXIJYCTETD",476,"Repeat",31,0,0,0
"A18FPXIJYCTETD",542,"Repeat",32,0,0,0
"A18FPXIJYCTETD",629,"Switch",33,0,0,1
"A18FPXIJYCTETD",858,"Repeat",34,0,0,0
"A18FPXIJYCTETD",1630,"Switch",35,0,0,1
"A18FPXIJYCTETD",1850,"Switch",38,0,0,1
"A18FPXIJYCTETD",1117,"Repeat",39,0,0,0
"A18FPXIJYCTETD",593,"Repeat",40,0,0,0
"A18FPXIJYCTETD",381,"Repeat",41,0,0,0
"A18FPXIJYCTETD",462,"Repeat",42,0,0,0
"A18FPXIJYCTETD",681,"Repeat",43,0,0,0
"A18FPXIJYCTETD",508,"Repeat",44,0,0,0
"A18FPXIJYCTETD",1153,"Switch",45,0,0,1
"A18FPXIJYCTETD",766,"Repeat",48,0,0,0
"A18FPXIJYCTETD",477,"Repeat",49,0,0,0
"A18FPXIJYCTETD",725,"Switch",50,0,0,1
"A18FPXIJYCTETD",1288,"Switch",51,0,0,1
"A18FPXIJYCTETD",1842,"Switch",52,0,0,1
"A18FPXIJYCTETD",1274,"Repeat",53,0,0,0
"A18FPXIJYCTETD",693,"Switch",54,0,0,1
"A18FPXIJYCTETD",1334,"Switch",55,0,0,1
"A18FPXIJYCTETD",688,"Repeat",56,0,0,0
"A18FPXIJYCTETD",654,"Switch",57,0,0,1
"A18FPXIJYCTETD",1909,"Repeat",58,0,0,0
"A18FPXIJYCTETD",664,"Repeat",59,0,0,0
"A18FPXIJYCTETD",1358,"Switch",60,0,0,1
"A18FPXIJYCTETD",1847,"Repeat",61,0,0,0
